# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CG32544	FBgn0052544	FBtr0074644	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32544	FBgn0052544	FBtr0333158	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32547	FBgn0052547	FBtr0290002	protein_coding	0	0	0	150	0	0	2	0	0	0	0	6	0	0	125	0	0	0	0	0	0	0	0	0	0	17
CG32547	FBgn0052547	FBtr0332378	protein_coding	0	0	0	150	2	0	2	0	0	0	0	4	0	0	125	0	0	0	0	0	0	0	0	0	0	17
CG32548	FBgn0052548	FBtr0074568	protein_coding	0	3	3	9	1	0	0	0	0	0	0	3	0	0	1	3	0	0	0	0	0	0	0	0	3	4
CG32548	FBgn0052548	FBtr0074569	protein_coding	0	3	2	8	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	3	4
CG32549	FBgn0052549	FBtr0074570	protein_coding	0	0	0	31	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	4
CG32549	FBgn0052549	FBtr0074571	protein_coding	0	1	1	25	0	1	2	0	0	0	0	16	0	0	5	1	0	0	0	0	0	0	0	0	0	2
CG32549	FBgn0052549	FBtr0074574	protein_coding	0	0	0	31	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	4
CG32549	FBgn0052549	FBtr0074575	protein_coding	0	0	0	31	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	4
CG32549	FBgn0052549	FBtr0340421	protein_coding	0	0	0	31	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	4
CG32549	FBgn0052549	FBtr0340422	protein_coding	0	0	0	31	0	0	0	0	0	0	0	16	0	0	11	0	0	0	0	0	0	0	0	0	0	4
CG32551	FBgn0052551	FBtr0290003	protein_coding	0	0	0	15	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CG32553	FBgn0052553	FBtr0302988	protein_coding	0	0	0	30	0	0	0	0	0	0	0	12	0	0	15	0	0	0	0	0	0	0	0	0	0	3
CG32554	FBgn0052554	FBtr0074467	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32557	FBgn0052557	FBtr0074466	protein_coding	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32563	FBgn0052563	FBtr0074391	protein_coding	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	43
CG32563	FBgn0052563	FBtr0340615	protein_coding	0	0	0	45	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	43
CG32564	FBgn0052564	FBtr0074390	protein_coding	0	3	1	47	2	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	42
CG32568	FBgn0052568	FBtr0301043	protein_coding	0	0	0	25	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	13
CG32568	FBgn0052568	FBtr0343362	protein_coding	0	0	0	25	2	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13
CG32572	FBgn0052572	FBtr0074324	protein_coding	0	5	7	67	1	0	0	0	0	0	0	35	0	0	17	7	0	0	0	0	0	0	0	0	5	14
CG32573	FBgn0052573	FBtr0074315	protein_coding	0	3	2	21	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	3	17
CG32573	FBgn0052573	FBtr0302364	protein_coding	0	3	2	16	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	3	13
CG32576	FBgn0052576	FBtr0074245	protein_coding	0	0	1	17	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CG32576	FBgn0052576	FBtr0100556	protein_coding	0	0	1	17	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	6
CG32579	FBgn0052579	FBtr0074225	protein_coding	0	0	1	18	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CG32579	FBgn0052579	FBtr0331754	protein_coding	0	0	1	18	0	0	0	0	0	0	0	14	0	0	0	1	0	0	0	0	0	0	0	0	0	4
CG32579	FBgn0052579	FBtr0331755	protein_coding	0	1	1	20	0	0	0	0	0	0	0	14	0	0	3	1	0	0	0	0	1	0	0	0	0	4
CG32581	FBgn0052581	FBtr0074184	protein_coding	0	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32581	FBgn0052581	FBtr0113439	protein_coding	0	0	0	5	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32588	FBgn0052588	FBtr0074025	protein_coding	0	2	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	3
CG32590	FBgn0052590	FBtr0073988	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32591	FBgn0052591	FBtr0073973	protein_coding	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CG32591	FBgn0052591	FBtr0343378	protein_coding	0	0	0	5	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CG32599	FBgn0260482	FBtr0073904	protein_coding	0	0	0	14	0	0	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	8
CG32603	FBgn0052603	FBtr0073894	protein_coding	0	4	3	32	0	0	0	0	0	1	0	14	0	0	0	2	0	0	0	0	0	0	0	0	4	18
CG32625	FBgn0052625	FBtr0073839	protein_coding	0	1	2	26	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	24
CG32631	FBgn0052631	FBtr0073799	protein_coding	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CG32633	FBgn0052633	FBtr0073800	protein_coding	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CG32633	FBgn0052633	FBtr0310431	protein_coding	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CG32638	FBgn0052638	FBtr0300453	protein_coding	0	0	0	27	2	0	0	0	0	0	0	24	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CG32639	FBgn0052639	FBtr0073734	protein_coding	0	2	0	44	0	0	1	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	2	8
CG32640	FBgn0052640	FBtr0073728	protein_coding	0	0	0	23	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	17
CG32641	FBgn0052641	FBtr0073729	protein_coding	0	1	4	7	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	1	4
CG32642	FBgn0052642	FBtr0305598	protein_coding	0	1	0	26	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	18
CG32642	FBgn0052642	FBtr0346281	protein_coding	0	1	0	26	1	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	17
CG32643	FBgn0052643	FBtr0073716	protein_coding	0	0	0	41	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	30
CG32645	FBgn0052645	FBtr0073725	protein_coding	0	0	0	58	0	0	1	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	40
CG32647	FBgn0052647	FBtr0073702	protein_coding	0	0	0	49	1	0	0	0	0	0	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	12
CG32647	FBgn0052647	FBtr0073703	protein_coding	0	0	0	38	0	0	0	0	0	0	0	8	0	0	18	0	0	0	0	0	0	0	0	0	0	12
CG32647	FBgn0052647	FBtr0340412	protein_coding	0	0	0	52	4	0	0	0	0	0	0	18	0	0	18	0	0	0	0	0	0	0	0	0	0	12
CG32647	FBgn0052647	FBtr0346126	protein_coding	0	0	0	61	8	0	0	0	0	0	0	23	0	0	18	0	0	0	0	0	0	0	0	0	0	12
CG32649	FBgn0052649	FBtr0073697	protein_coding	0	0	0	51	0	0	2	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	30
CG32650	FBgn0052650	FBtr0073698	protein_coding	0	0	0	47	0	0	2	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	29
CG32651	FBgn0052651	FBtr0073672	protein_coding	0	0	0	20	1	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	6
CG32655	FBgn0052655	FBtr0073633	protein_coding	0	0	0	14	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CG32668	FBgn0052668	FBtr0073469	protein_coding	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
CG32669	FBgn0052669	FBtr0073412	protein_coding	0	1	1	16	2	0	0	0	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	7
CG32676	FBgn0052676	FBtr0071503	protein_coding	0	3	2	68	0	0	0	0	1	0	0	5	0	0	62	1	0	0	0	0	0	0	0	0	3	1
CG32676	FBgn0052676	FBtr0333017	protein_coding	0	3	2	69	0	0	0	0	1	0	0	6	0	0	62	1	0	0	0	0	0	0	0	0	3	1
CG32679	FBgn0052679	FBtr0071469	protein_coding	0	0	0	63	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	46
CG32681	FBgn0052681	FBtr0071466	protein_coding	0	18	7	7	0	0	0	0	0	0	0	6	0	0	0	7	0	0	0	0	0	0	0	0	18	1
CG32683	FBgn0052683	FBtr0071463	protein_coding	0	9	0	103	6	0	1	0	0	0	0	2	0	0	88	0	0	0	0	0	0	0	0	0	9	6
CG32683	FBgn0052683	FBtr0343034	protein_coding	0	9	0	102	6	0	0	0	0	0	0	2	0	0	85	0	0	0	0	0	0	0	0	0	9	9
CG32686	FBgn0052686	FBtr0071467	protein_coding	0	2	2	68	1	0	1	0	0	0	0	41	0	0	0	2	0	0	0	0	0	0	0	0	2	25
CG32686	FBgn0052686	FBtr0071468	protein_coding	0	2	3	67	1	0	0	0	0	1	0	41	0	0	0	2	0	0	0	0	0	0	0	0	2	25
CG32687	FBgn0052687	FBtr0071458	protein_coding	0	0	0	12	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	9
CG32687	FBgn0052687	FBtr0336901	protein_coding	0	0	0	12	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	8
CG32694	FBgn0052694	FBtr0071410	protein_coding	0	1	0	81	2	0	0	0	0	0	0	11	0	0	62	0	0	0	0	0	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0071411	protein_coding	0	1	0	82	5	0	0	0	0	0	0	6	0	0	65	0	0	0	0	0	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0071412	protein_coding	1	1	0	81	5	0	0	0	0	0	0	6	0	0	65	0	0	0	0	1	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0307380	protein_coding	1	1	1	79	0	0	0	0	0	0	0	11	0	0	63	1	0	0	0	1	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0307381	protein_coding	0	1	0	82	5	0	0	0	0	0	0	6	0	0	65	0	0	0	0	0	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0307382	protein_coding	0	1	0	81	2	0	0	0	0	0	0	11	0	0	62	0	0	0	0	0	1	0	0	0	0	7
CG32694	FBgn0052694	FBtr0340479	protein_coding	0	1	0	81	2	0	0	0	0	0	0	11	0	0	62	0	0	0	0	0	1	0	0	0	0	7
CG32695	FBgn0052695	FBtr0071398	protein_coding	0	1	0	13	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CG32695	FBgn0052695	FBtr0343033	protein_coding	0	1	0	13	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CG32695	FBgn0052695	FBtr0346169	protein_coding	0	1	0	13	7	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	2
CG32698	FBgn0052698	FBtr0071386	protein_coding	0	0	0	120	0	0	1	0	0	0	0	20	0	0	85	0	0	0	0	0	0	0	0	0	0	14
CG32698	FBgn0052698	FBtr0307489	protein_coding	0	0	0	120	0	0	2	0	0	0	0	20	0	0	85	0	0	0	0	0	0	0	0	0	0	13
CG32698	FBgn0052698	FBtr0336923	protein_coding	0	0	0	124	23	0	1	0	0	0	0	15	0	0	77	0	0	0	0	0	0	0	0	0	0	8
CG32698	FBgn0052698	FBtr0346170	protein_coding	0	0	0	120	0	0	1	0	0	0	0	20	0	0	99	0	0	0	0	0	0	0	0	0	0	0
CG32699	FBgn0052699	FBtr0110850	protein_coding	0	3	0	39	2	0	0	0	0	0	0	15	0	0	8	0	0	0	0	0	0	0	0	0	3	14
CG32700	FBgn0267253	FBtr0071373	protein_coding	0	1	0	136	0	1	4	0	0	0	0	5	0	0	112	0	0	0	0	0	0	0	0	0	0	15
CG32700	FBgn0267253	FBtr0071374	protein_coding	0	1	0	137	3	1	4	0	0	0	0	1	0	0	114	0	0	0	0	0	0	0	0	0	0	15
CG32706	FBgn0052706	FBtr0071287	protein_coding	1	1	0	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	3
CG32708	FBgn0052708	FBtr0071286	protein_coding	0	0	0	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3
CG32712	FBgn0052712	FBtr0300386	protein_coding	0	7	1	30	0	0	0	0	0	0	0	7	0	0	7	1	0	0	0	0	2	0	0	0	5	18
CG32713	FBgn0052713	FBtr0071243	protein_coding	1	2	1	65	1	0	0	0	0	0	1	50	1	0	0	0	0	0	0	0	0	1	0	0	2	14
CG32713	FBgn0052713	FBtr0343355	protein_coding	1	2	1	65	7	0	0	0	0	0	1	44	1	0	0	0	0	0	0	0	0	1	0	0	2	14
CG32718	FBgn0052718	FBtr0300461	protein_coding	0	0	0	52	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	32
CG32718	FBgn0052718	FBtr0332490	protein_coding	0	0	0	52	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	32
CG32718	FBgn0052718	FBtr0332491	protein_coding	0	0	0	52	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	32
CG32719	FBgn0052719	FBtr0071083	protein_coding	0	0	4	133	0	0	0	1	0	0	0	29	0	0	103	3	0	0	0	0	0	0	0	0	0	1
CG32720	FBgn0052720	FBtr0304870	protein_coding	0	0	0	55	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	53
CG32726	FBgn0052726	FBtr0071059	protein_coding	0	0	0	52	6	0	0	0	0	0	0	21	0	0	1	0	0	0	0	0	0	0	0	0	0	24
CG32726	FBgn0052726	FBtr0343326	protein_coding	0	0	0	52	1	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	24
CG32727	FBgn0265265	FBtr0071056	protein_coding	0	0	0	20	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32732	FBgn0052732	FBtr0071039	protein_coding	0	0	0	38	0	0	0	0	0	0	0	14	0	0	14	0	0	0	0	0	0	0	0	0	0	10
CG32736	FBgn0052736	FBtr0071007	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CG32736	FBgn0052736	FBtr0071008	protein_coding	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
CG32750	FBgn0052750	FBtr0070881	protein_coding	0	20	6	112	3	0	0	0	0	0	0	30	0	0	2	6	0	0	0	0	3	0	0	0	17	79
CG32751	FBgn0052751	FBtr0070880	protein_coding	0	33	9	104	0	0	0	1	0	0	0	57	0	0	4	8	0	0	0	0	1	0	0	0	32	44
CG32751	FBgn0052751	FBtr0340669	protein_coding	0	33	10	103	0	0	0	1	0	0	0	57	0	0	3	9	0	0	0	0	1	0	0	0	32	44
CG32755	FBgn0052755	FBtr0070862	protein_coding	0	8	0	22	2	0	0	0	0	0	0	12	0	0	4	0	0	0	0	0	0	0	0	0	8	4
CG32756	FBgn0052756	FBtr0070860	protein_coding	0	0	1	24	3	0	0	0	0	0	0	18	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CG32756	FBgn0052756	FBtr0343295	protein_coding	0	0	1	25	3	0	0	0	0	0	0	19	0	0	0	1	0	0	0	0	0	0	0	0	0	3
CG32758	FBgn0052758	FBtr0070843	protein_coding	0	9	0	56	4	0	2	0	0	0	0	5	0	0	46	0	0	0	0	0	1	0	0	0	8	0
CG32758	FBgn0052758	FBtr0339525	protein_coding	0	9	0	39	4	0	0	0	0	0	0	12	0	0	9	0	0	0	0	0	1	0	0	0	8	15
CG32758	FBgn0052758	FBtr0340670	protein_coding	0	9	0	45	4	0	0	0	0	0	0	18	0	0	9	0	0	0	0	0	1	0	0	0	8	15
CG32762	FBgn0052762	FBtr0070791	protein_coding	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CG32762	FBgn0052762	FBtr0345787	protein_coding	0	0	0	10	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CG32767	FBgn0052767	FBtr0300994	protein_coding	0	11	2	70	2	0	4	0	0	1	0	16	0	0	16	1	0	0	0	0	1	0	0	0	10	33
CG32767	FBgn0052767	FBtr0300995	protein_coding	0	11	2	48	10	0	3	0	0	1	0	10	0	0	13	1	0	0	0	0	1	0	0	0	10	13
CG32767	FBgn0052767	FBtr0302118	protein_coding	0	11	2	48	10	0	7	0	0	1	0	10	0	0	9	1	0	0	0	0	1	0	0	0	10	13
CG32767	FBgn0052767	FBtr0302119	protein_coding	0	11	2	48	10	0	3	0	0	1	0	10	0	0	13	1	0	0	0	0	1	0	0	0	10	13
CG32767	FBgn0052767	FBtr0331757	protein_coding	0	11	2	48	10	0	3	0	0	1	0	10	0	0	13	1	0	0	0	0	1	0	0	0	10	13
CG32767	FBgn0052767	FBtr0331758	protein_coding	0	11	2	50	19	0	8	0	0	1	0	3	0	0	8	1	0	0	0	0	1	0	0	0	10	13
CG32772	FBgn0052772	FBtr0300997	protein_coding	0	1	0	23	0	0	2	0	0	0	0	2	0	0	8	0	0	0	0	0	1	0	0	0	0	12
CG32772	FBgn0052772	FBtr0342951	protein_coding	0	1	0	20	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	15
CG32772	FBgn0052772	FBtr0342952	protein_coding	0	1	0	23	0	0	1	0	0	0	0	2	0	0	9	0	0	0	0	0	1	0	0	0	0	12
CG32772	FBgn0052772	FBtr0343533	protein_coding	0	1	0	20	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	1	0	0	0	0	15
CG32783	FBgn0052783	FBtr0344826	protein_coding	0	1	0	9	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	1	3
CG32786	FBgn0052786	FBtr0344825	protein_coding	0	0	0	14	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	9
CG32791	FBgn0052791	FBtr0070588	protein_coding	0	1	0	51	2	0	3	0	0	0	0	2	0	0	41	0	0	0	0	0	0	0	0	0	1	3
CG32791	FBgn0052791	FBtr0333794	protein_coding	0	1	0	225	2	1	1	0	0	0	0	2	0	0	219	0	0	0	0	0	0	0	0	0	0	1
CG32791	FBgn0052791	FBtr0333795	protein_coding	0	1	0	54	4	0	3	0	0	0	0	3	0	0	41	0	0	0	0	0	0	0	0	0	1	3
CG32793	FBgn0052793	FBtr0070550	protein_coding	1	11	8	34	0	0	0	1	0	0	1	10	1	0	0	6	0	0	0	0	0	0	0	0	11	24
CG32795	FBgn0040384	FBtr0070491	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32795	FBgn0040384	FBtr0070492	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32795	FBgn0040384	FBtr0070493	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32795	FBgn0040384	FBtr0309881	protein_coding	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32795	FBgn0040384	FBtr0345318	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32797	FBgn0052797	FBtr0070461	protein_coding	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0089814	protein_coding	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0089815	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0308321	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0308322	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0308323	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0308324	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0330408	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0333117	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0333118	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0333119	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32809	FBgn0023531	FBtr0333120	protein_coding	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
CG32814	FBgn0052814	FBtr0336688	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CG32816	FBgn0052816	FBtr0273442	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CG32816	FBgn0052816	FBtr0273443	protein_coding	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
CG32817	FBgn0052817	FBtr0070077	protein_coding	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32817	FBgn0052817	FBtr0300328	protein_coding	0	0	0	5	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CG32817	FBgn0052817	FBtr0336919	protein_coding	0	0	0	5	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG33080	FBgn0053080	FBtr0070844	protein_coding	0	9	3	103	0	0	1	0	0	0	0	14	0	0	75	3	0	0	0	0	0	0	0	0	9	13
CG33080	FBgn0053080	FBtr0070845	protein_coding	0	7	3	94	0	1	4	0	0	0	0	14	0	0	57	3	0	0	0	0	0	0	0	0	6	19
CG33080	FBgn0053080	FBtr0342971	protein_coding	0	9	3	91	0	0	2	0	0	0	0	14	0	0	69	3	0	0	0	0	0	0	0	0	9	6
CG33080	FBgn0053080	FBtr0342972	protein_coding	0	7	3	94	0	1	4	0	0	0	0	14	0	0	57	3	0	0	0	0	0	0	0	0	6	19
CG33082	FBgn0053082	FBtr0070174	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG33082	FBgn0053082	FBtr0346795	protein_coding	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CG3309	FBgn0029756	FBtr0070798	protein_coding	0	4	0	35	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	23
CG3309	FBgn0029756	FBtr0344827	protein_coding	0	4	0	35	1	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	4	23
CG33172	FBgn0053172	FBtr0308092	protein_coding	0	0	0	11	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	2
CG33177	FBgn0053177	FBtr0073962	protein_coding	0	2	0	43	0	0	1	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	2	4
CG33178	FBgn0053178	FBtr0073963	protein_coding	0	0	0	50	0	0	0	0	0	0	0	35	0	0	2	0	0	0	0	0	0	0	0	0	0	13
CG33178	FBgn0053178	FBtr0340426	protein_coding	0	0	0	50	0	0	0	0	0	0	0	35	0	0	2	0	0	0	0	0	0	0	0	0	0	13
CG33178	FBgn0053178	FBtr0346085	protein_coding	0	0	0	50	0	0	0	0	0	0	0	35	0	0	2	0	0	0	0	0	0	0	0	0	0	13
CG33181	FBgn0053181	FBtr0113451	protein_coding	0	4	3	126	0	0	3	0	0	2	1	23	0	0	81	0	0	0	0	0	1	0	0	0	3	20
CG33181	FBgn0053181	FBtr0113452	protein_coding	0	3	3	96	5	0	5	0	0	2	1	33	0	0	9	0	0	0	0	0	0	0	0	0	3	44
CG33181	FBgn0053181	FBtr0113453	protein_coding	0	3	2	128	0	0	0	0	0	2	0	23	0	0	86	0	0	0	0	0	1	0	0	0	2	20
CG33181	FBgn0053181	FBtr0113454	protein_coding	0	4	3	141	5	0	4	0	0	2	1	33	0	0	81	0	0	0	0	0	1	0	0	0	3	19
CG33181	FBgn0053181	FBtr0113455	protein_coding	0	4	3	107	5	0	3	0	0	2	1	33	0	0	56	0	0	0	0	0	1	0	0	0	3	11
CG33181	FBgn0053181	FBtr0333144	protein_coding	0	4	3	141	5	0	3	0	0	2	1	33	0	0	81	0	0	0	0	0	1	0	0	0	3	20
